Resultados por comunidad aut󮯭a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de ense񡮺a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Nmero de estudiantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;Ciencias Sociales y Jur_cas;;;;;;;Ingenier_y Arquitectura;;;;;;;Artes y Humanidades;;;;;;;Ciencias de la Salud;;;;;;;Ciencias;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Resto de frica;338.0;351.0;445.0;431.0;457.0;447.0;512.0;197.0;173.0;200.0;217.0;269.0;239.0;266.0;72.0;95.0;147.0;126.0;114.0;112.0;156.0;26.0;33.0;43.0;38.0;23.0;34.0;42.0;32.0;38.0;42.0;41.0;46.0;45.0;41.0;11.0;12.0;13.0;9.0;5.0;17.0;7.0
                Asia y Ocean_2005.0;2004.0;2242.0;2414.0;2636.0;2722.0;2472.0;1082.0;1014.0;1195.0;1182.0;1333.0;1293.0;1165.0;397.0;420.0;456.0;531.0;529.0;625.0;645.0;260.0;285.0;285.0;311.0;345.0;374.0;272.0;215.0;228.0;238.0;311.0;339.0;332.0;288.0;51.0;57.0;68.0;79.0;90.0;98.0;102.0;
            Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;125937.0;124603.0;121460.0;121668.0;120721.0;121244.0;121991.0;51533.0;51814.0;50420.0;50028.0;49570.0;49982.0;50670.0;41406.0;39878.0;39225.0;39735.0;39019.0;38638.0;39109.0;9556.0;9845.0;9516.0;9448.0;9427.0;9465.0;9087.0;14550.0;14138.0;13818.0;14011.0;14092.0;14445.0;14760.0;8892.0;8928.0;8481.0;8446.0;8613.0;8714.0;8365.0
                Espa񡻱19344.0;117491.0;113965.0;113578.0;111775.0;112520.0;112670.0;49080.0;49064.0;47410.0;46754.0;45852.0;46519.0;46770.0;39551.0;37933.0;37132.0;37471.0;36419.0;36031.0;36406.0;9035.0;9334.0;8932.0;8873.0;8827.0;8800.0;8483.0;13030.0;12466.0;12222.0;12295.0;12331.0;12703.0;12932.0;8648.0;8694.0;8269.0;8185.0;8346.0;8467.0;8079.0;
                Uni󮠅uropea;2730.0;3232.0;3152.0;3316.0;3463.0;3271.0;3438.0;795.0;1056.0;1063.0;1122.0;1219.0;1111.0;1267.0;527.0;563.0;575.0;614.0;683.0;623.0;600.0;153.0;178.0;186.0;201.0;207.0;187.0;162.0;1158.0;1334.0;1241.0;1288.0;1258.0;1258.0;1326.0;97.0;101.0;87.0;91.0;96.0;92.0;83.0
                Resto de Europa;524.0;550.0;546.0;515.0;549.0;536.0;690.0;251.0;259.0;243.0;213.0;255.0;255.0;311.0;156.0;186.0;191.0;191.0;184.0;167.0;212.0;45.0;38.0;41.0;39.0;30.0;42.0;61.0;46.0;51.0;51.0;47.0;54.0;50.0;80.0;26.0;16.0;20.0;25.0;26.0;22.0;26.0
                EEUU y CanadỶ7.0;58.0;94.0;112.0;130.0;129.0;129.0;37.0;30.0;50.0;70.0;89.0;83.0;71.0;9.0;4.0;6.0;12.0;13.0;14.0;23.0;10.0;11.0;18.0;10.0;8.0;13.0;15.0;9.0;11.0;16.0;18.0;16.0;19.0;14.0;2.0;2.0;4.0;2.0;4.0;0.0;6.0;
                Am鲩ca Latina y Caribe;1562.0;1517.0;1750.0;2035.0;2257.0;1966.0;2388.0;649.0;658.0;775.0;972.0;1063.0;900.0;1206.0;543.0;563.0;632.0;672.0;783.0;639.0;717.0;158.0;118.0;170.0;176.0;178.0;208.0;200.0;147.0;120.0;118.0;139.0;162.0;162.0;180.0;65.0;58.0;55.0;76.0;71.0;57.0;85.0
                Norte de frica;582.0;634.0;655.0;716.0;1039.0;1319.0;1249.0;179.0;229.0;252.0;273.0;359.0;448.0;425.0;290.0;283.0;284.0;307.0;481.0;668.0;627.0;21.0;39.0;28.0;31.0;47.0;61.0;52.0;74.0;64.0;78.0;83.0;118.0;118.0;115.0;18.0;19.0;13.0;22.0;34.0;24.0;30.0
